FILE_PATH METHOD_NAME NUMBER_OF_ANALYSED_FILE SKIPPED_IDENTIFICATION local
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java classModifier 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeParameters 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java superclass 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java superinterfaces 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java normalClassDeclaration 3 3 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java annotation 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java getRuleIndex 1 1 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java classModifier 2 2 0
/home/cuacua/Documents/STAGE/projects/DarioStuff/analysis/./src/main/antlr4/.antlr/Java8Parser.java typeParameterList 1 1 0
